variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
LANDFRAC,fraction,0.292,80, 1.67e-16, 2.08e-18, 4.08e-18, 0.292 +  0 t, 1
OCNFRAC,fraction,0.664,80, 0.00203, 2.53e-05, 4.96e-05, 0.666 + -5.37e-05 t, 1.6e-09
SST,K,292.099,80, 0.144, 0.002, 0.004, 292.257 + -0.004 t, 0.000
TS,K,287.351,80, 0.238, 0.003, 0.006, 287.628 + -0.007 t, 0.000
SWCF,W/m2,-47.473,80, 0.403, 0.005, 0.010,-47.443 + -0.001 t, 0.709
LWCF,W/m2,24.610,80, 0.129, 0.002, 0.003, 24.624 + -0.000 t, 0.580
PRECT,m/s,3.49e-08,80, 2.33e-10, 2.91e-12, 5.7e-12, 3.52e-08 + -5.69e-12 t, 5e-08
TAUX,N/m2,-0.00605,80, 0.000789, 9.87e-06, 1.93e-05,-0.00611 +  1.66e-06 t, 0.669
TAUY,N/m2,-0.00189,80, 0.000546, 6.83e-06, 1.34e-05,-0.00164 + -6.01e-06 t, 0.0229
TGCLDLWP,kg/m2,0.0515,80, 0.000622, 7.77e-06, 1.52e-05, 0.0514 +  2.19e-06 t, 0.473
PSL,Pa,101101.229,80, 3.322, 0.042, 0.081, 101104.894 + -0.090 t, 0.000
TREFHT,K,286.517,80, 0.239, 0.003, 0.006, 286.797 + -0.007 t, 0.000
